Colna1_GeneCatalog_proteins_20170406.aa.fasta	681940	DNA	v1.0	
Colny1_GeneCatalog_proteins_20160329.aa.fasta	1460502	DNA		
Color1_GeneCatalog_proteins_20161026.aa.fasta	1209926	DNA		
Colph1_GeneCatalog_proteins_20160704.aa.fasta	359342	DNA	v1.0	
Colsa1_GeneCatalog_proteins_20160329.aa.fasta	1209931	DNA		
Colsi1_GeneCatalog_proteins_20160329.aa.fasta	703756	DNA		
Colso1_GeneCatalog_proteins_20141229.aa.fasta	1500509	DNA	v1.0	
Colsu1_GeneCatalog_proteins_20150101.aa.fasta	1173701	DNA	v1.0	
Colto1_GeneCatalog_proteins_20170704.aa.fasta	708197	DNA		27150427
Colzo1_GeneCatalog_proteins_20150103.aa.fasta	1216348	DNA	v1.0	
Conap1_GeneCatalog_proteins_20160826.aa.fasta	1168221	DNA		28348446
Conco1_GeneCatalog_proteins_20120213.aa.fasta	796925	DNA	v1.0	25977457
Conli1_GeneCatalog_proteins_20130808.aa.fasta	177197	DNA		
Conlig1_GeneCatalog_proteins_20140604.aa.fasta	1408157	DNA	v1.0	28126934
Conol1_GeneCatalog_proteins_20151211.aa.fasta	85977	DNA	v1.0	29145801
ConPMI546_GeneCatalog_proteins_20140720.aa.fasta	1450552	DNA	v1.0	
Conpu1_GeneCatalog_proteins_20101116.aa.fasta	80637	DNA	v1.0	22745431
Conth1_GeneCatalog_proteins_20141003.aa.fasta	1314799	DNA	v1.0	
Copci_AmutBmut1_GeneCatalog_proteins_20130522.aa.fasta	1132390	DNA	v1.0	26510163
Copmar1_GeneCatalog_proteins_20151019.aa.fasta	230819	DNA	v1.0	
Copmic2_GeneCatalog_proteins_20150909.aa.fasta	71717	DNA	v2.0	
Coppel1_GeneCatalog_proteins_20151130.aa.fasta	575509	DNA	v1.0	
Coprinopsis_cinerea.proteins.fasta	5346	DNA		20547848
Copscl1_GeneCatalog_proteins_20151130.aa.fasta	71723	DNA	v1.0	
Corca1_GeneCatalog_proteins_20140615.aa.fasta	59586	DNA	v1.0	29551995
Corgl3_GeneCatalog_proteins_20130626.aa.fasta	1149754	DNA	v2.0	
Corma2_GeneCatalog_proteins_20150506.aa.fasta	45810	DNA	v2.0	
Cormi1_GeneCatalog_proteins_20131203.aa.fasta	983644	DNA		22112802
Cparasiticav2.GeneCatalog20091217.proteins.fasta	660469	DNA	v2.0	
Crafun1_GeneCatalog_proteins_20170607.aa.fasta	1954473	DNA	v1.0	
Crevar1_GeneCatalog_proteins_20151207.aa.fasta	179855	DNA	v1.0	
Croqu1_GeneCatalog_proteins_20120612.aa.fasta	708437	DNA	v1.0	25018762
Crula1_GeneCatalog_proteins_20151130.aa.fasta	68775	DNA	v1.0	
Crycu1_GeneCatalog_proteins_20150820.aa.fasta	57679	DNA	v1.0	
